representante_legal	razon_social	monto	fecha	description	razon_social_normalizada	node_id_panama_papers
josé antonio mejía núñez	comercial internacional de equipos y maquinaria s.a.s. ¿navitrans s.a.s¿ ¿ agencia dosquebradas	10872714	08 de may       de 2015  09:06 a.m.	suministro de 4 llantas (2 llanas 14x 17.5 y 2 llantas 21 l ¿ 24 ind/16 pr) tipo goodyear con sus respectivos neumáticos (2 neumáticos 14x 17.5 y 2 neumáticos 19.5/21l24) y un fan clutch con destino a la  retroexcavadora case 590 súper n que se encuentra al servicio del municipio de marmato, realizando el mantenimiento, mejoramiento, rehabilitación y adecuación de la red vial	navitrans	10051770,10148707
alvaro velez osorio	velez lab sas	1781760	16 de december  de 2015  02:45 p.m.	material laboratorio clinico	velez lab	10053876
carlos alfonso romero zarama	navitrans sas	247500000	12 de february  de 2015  08:54 a.m.	adquisición de un vehiculo automotor tipo bus con destino al trasporte escolar de estudiantes de la ¿institucion educativa municipio de mallama¿ del municipio de mallama - nariño¿	navitrans	10051770,10148707
carlos alfonso romero zarama	navitrans s.a.s	1824802	04 de december  de 2012  05:29 p.m.	suministrar en calidad de venta 2 llantas 12 x 16,512 con destino a la retrocargadora de propiedad del municipio que atiende programas de mantenimiento vial	navitrans	10051770,10148707
maría choucair cardenas	choucair cardenas testing s.a	178503120	24 de septiembre de 2014	el contratista se obliga con el icfes a prestar los servicios de consultoría en pruebas de software, sobre los desarrollos definidos por el icfes y a ejecutar, siguiendo una metodología, los trabajos y las actividades especificados en una estrategia planteada para la ejecución definida con la dirección de tecnología e información del instituto, para realizar pruebas a la funcionalidad o aspectos de los productos determinados, documentados y entregados debidamente por el icfes en aras a que cumplan en un alto grado con los requerimientos manifestados y documentados por el icfes.	choucair cardenas testing	10166118
nelson alberto rios portilla	la sociedad disico s.a	950000000	10 de february  de 2012  03:29 p.m.	adquirir, instalar y poner en funcionamiento ups´s para la rama judicial a nivel nacional	disico	10163683,10163694
jhon jary delgado lozano	comercial internacional de equipos y maquinaria sas navitrans sas	2495009446	05 de december  de 2014  03:54 p.m.	adquisicion de maquinaria y equipo para el mantenimiento de vias rurales municipio de popayan departamento del cauca	navitrans	10051770,10148707
andres duque pelaez	navitrans sa	111000000	20 de diciembre de 2010	adquisicion de repuestos y servicio de mantenimiento para los equipos marca case que son empleados en la ejecucion del proyecto carretera de la soberania en desarrollo del programa de corredores arteriales complementarios de competitividad - convenio 200925.	navitrans	10051770,10148707
ricardo de j duque pelaez	navitrans sas	810144	22 de september de 2015  04:17 p.m.	compra de baterias para reposicion del vehiculo recolector ttt904	navitrans	10051770,10148707
andrés duque peláez	navitrans s.a	145000000	12 de september de 2008  12:48 p.m.	adquisicion de una volqueta para el servicio del municipio.	navitrans	10051770,10148707
andres de jesus duque pelaez	consorcio eurotrans y navitrans panel	155279000000	15 de february  de 2008  10:44 a.m.	adquisicion de equipo automotor tipo panel?	navitrans	10051770,10148707
nestros diego villegas hurtado	navitrans s.a	356000000	10 de december  de 2014  11:57 a.m.	adquisición a titulo de compra venta de dos  (2) volquetas destinadas al mantenimiento rutinario de vias del municipio de isnos-huila.	navitrans	10051770,10148707
luis javier cardona velasquez	navitrans	1472968	12 de may       de 2015  05:35 p.m.	adquisicion de repuestos e insumos con destino a la volqueta de propiedad del municipio de nimaima	navitrans	10051770,10148707
andres de jesus duque pelaez	navitrans s.a.	574200	24 de julio de 2009	prestar los servicios de diagnostico de la retroexcavadora case 580m serie ii, propiedad del municipio de gama.	navitrans	10051770,10148707
luis javier cardona velasquez	navitrans s.a.s	16500000	18 de december  de 2013  11:15 a.m.	mantenimiento preventivo y correctivo a todo costo (incluye repuestos originales) para el parque automotor de propiedad o al servicio del municipio de junin cundinamarca	navitrans	10051770,10148707
andres de jesus duque pelaez	navitrans s.a.	164500000	27 de october   de 2011  09:55 a.m.	compraventa de volqueta, cero kilometros, modelo 2011, con destino a la oficina de planeación del municipio de susa, cundinamarca, para apoyar su gestion, en el mantenimiento y recuperación de la malla vial del municipio	navitrans	10051770,10148707
alvaro velez osorio	velez lab s.a.s	235910676	06 de noviembre de 2012	suministro por demanda de reactivos para velocidad de sedimentacion globular y elementos en la modalidad de apoyo tecnologico, mediante el sistema de entregas periodicas segun pedido	velez lab	10053876
luis javier cardona velazquez	navitrans s.a.s	781000000	19 de december  de 2013  12:27 p.m.	compra de una retroexcavadora. un vibrocompactador y dos volquetas para el municipio de fresno tolima, para el mantenimiento de las vias	navitrans	10051770,10148707
nelson rios villamizar	disico s.a	109261938	23 de enero de 2014	compra de reconectadores tipo exterior, trifasico, 34.5 kv, para la superintendencia orinoquia catatumbo, tibu, norte de santander	disico	10163683,10163694
wilson miguel pinilla ortega	impulsores internacionales s.a.s.	44077680	28 de august    de 2015  05:52 p.m.	adquisición de placas radiográficas para el cami vista hermosa i nivel e.s.e	impulsores internacionales	10211803
julian ricardo russi	impulsores internacionales sas	3000000	13 de june      de 2012  06:39 p.m.	compra de plantulas y agroinsumos para brindar la asistencia tecnica a pequeños y medianos productores agricolas en los programas de huertas caseras y agricultura urbana, como apoyo y garantia de la seguridad alimentaria en el municipio de gachancipa	impulsores internacionales	10211803
ricardo de jesus duque pelaez	navitrans sas	171000000	05 de august    de 2014  08:31 a.m.	adquisición de volqueta para el servicio del municipio de el peñol	navitrans	10051770,10148707
luis javier cardona velásquez	comercial internacional de equipos y maquinarias s.a navitrans s.a.s	2100000000	01 de february  de 2013  03:11 p.m.	seleccionar a un proveedor para la adquisición de maquinaria pesada con destino al municipio de tierralta departamento de córdoba, a través de leasing financiero celebrado con una entidad financiera legalmente autorizada	navitrans	10051770,10148707
julian ricardo russi ramirez	impulsores internacionales sas	2380320	14 de december  de 2015  10:02 a.m.	adquisicion de insumos varios material médico quirúrgicos,       (ropa quirurgica, paquete de cirugia general, overoles en tela quirurgica ,peto desechable,bata quirurgica desechable manga larga con puño,polainas,gorro desechable,paquete parto normal,paquete obstetricia cesarea  esteril, guantes de examen y esteril, cateteres, suturas, terapia respiratoria - soporte ventilatorio - liner, canulas, camaras de hood, humidificadores, mascaras, micronebulizadores, tubo endotraqueales, tubos succion inhalocamaras, algodones, esparadrapos, apositos, cintillas, tiras, electrodos,  papel electro, insumos para imagenologia  ) para el buen funcionamiento de las diferentes del hospital la victoria y su sede materno infantil.	impulsores internacionales	10211803
julian ricardo russi ramirez	impulsores internacionales sas	43838750	11 de august    de 2015  04:30 p.m.	suministro de material para rayos x de la ese hospital departamental san antonio de pitalito huila	impulsores internacionales	10211803
ricardo de jesus duque pelaez	navitrans sa	863750	25 de september de 2011  10:10 p.m.	contratación de repuestos, aditivos y mano de obra para la patrulla que presta sus servicios a la policía nacional, la patrulla se llevará al sitio donde el contratista disponga en la ciudad de medellín o el valle del aburrá; conforme al siguiente detalle:	navitrans	10051770,10148707
luis javier cardona velazquez	comercial internacional de equipos y maquinaria s.a.s navitrans s.a.s	4005509	14 de january   de 2013  12:09 p.m.	¿suministro y mantenimiento tecnico preventivo para la retroexcavadora marca case 590 supern 4x4, cabina cerrada con aire acondicionado de propiedad de la alcaldia del municipio de moniquirá¿	navitrans	10051770,10148707
luis javier cardona velasquez	navitrans s.a.s	240000000	26 de september de 2012  05:50 p.m.	adquisicion de un vibrocompactador para el municipio de cucunuba.	navitrans	10051770,10148707
jhon jary delgado lozano	comercial internacional de equipos y maquinaria s.a.s navitrans.	11187947	25 de september de 2015  09:41 a.m.	mantenimiento correctivo con suministro de repuestos originales en el sistema hidraulico para el retrocargador marca case 580sn, modelo 2011, motor nro. 00805758, serie nro. jjgn58snabc542246 propiedad del municipio de rosas cauca.	navitrans	10051770,10148707
ricardo de jesús duque pelaéz	comercial internacional de equipos y maquinaria s.a.s-navitrans s.a.s.	178925850	03 de january   de 2012  05:00 p.m.	compra de un bus para el transporte y apoyo logístico en las actividades de la secretaria de tránsito y transporte de medellín.	navitrans	10051770,10148707
luis javier cardona velasquez	comercial internacional de equipo y maquinaria s.a.s navitrans	5045033709	08 de july      de 2013  06:13 p.m.	adquisición de equipo de ingenieros de combate dentro de la politica de consolidacion del ejército nacional	navitrans	10051770,10148707
heli calderon acelas	transportes calderon s.a.	365620710	22 de february  de 2010  09:14 p.m.	contratar la prestacion del servicio especial de transporte escolar para la poblacion estudiantil vulnerable de primaria y secundaria, que asisten a las instituciones educativas rurales y urbanas oficiales del municipio de bucaramanga¿.	transportes calder	10170683
jhon jary delgado lozano	comercial internacional de equipos y maquinaria - navitrans s.a.s	3987600001	02 de december  de 2015  10:29 a.m.	el contratista se compromete para con emcaservicios s.a. e.s.p. a transferir a titulo de venta a favor de los municipios de piendamo, bolivar, timbio, buenos aires, suarez, morales, inzá, sotará, patía, silvia, san sebastian y padilla, doce vehiculos recolectores compactadores de residuos solidos (uno para cada municipio) de conformidad con las especificaciones establecidas por la entidad	navitrans	10051770,10148707
humberto duque pelaez	comercial internacional de equipos y maquinaria s.a.s (navitrans s.a.s)	280000000	19 de may       de 2014  05:56 p.m.	adquisición de un vehiculo colectivo tipo bus para el municipio de caucasia, antioquia	navitrans	10051770,10148707
carlos alfonso romero zarama	comercial internacional de equipos y maquinaria sas navitrans	35000000	21 de september de 2015  10:25 a.m.	mantenimiento correctivo y preventivo con suministro de repuestos para los equipos y vehículos de la marca case e internacional del ejército nacional asignados al proyecto junín- barbacoas del departamento de nariño, en el marco del convenio interadministrativo 2570/910 de 2009.	navitrans	10051770,10148707
josé antonio mejía nuñez	comercial internacional de equipos y maquinaria navitrans s.a.s	151500160	07 de march     de 2013  06:58 p.m.	adquisición a titulo de compra de una volqueta destinada para el mantenimiento de vías  y el transporte de materiales	navitrans	10051770,10148707
luis javier cardona velásquez	comercial internacional de equipos y maquinarias s.a.s. - navitrans s.a.s.	1542710356	21 de november  de 2014  10:51 a.m.	adquisición de maquinaria para la adecuación, mantenimiento y apertura de las vías del municipio de puerto rico, meta. orinoquia.	navitrans	10051770,10148707
diego fernando rivera giraldo	comercial  internacional de equipos y maquinaria s.a. ¿ navitrans s.a.	2146576	21 de enero de 2013	realizar el mantenimiento por cumplimento de las 850 horas de servicio del carro recolector de placas oeo 238, y por el servicio de 28.000 kilómetros de la volqueta de placas ocm 182 de propiedad del municipio de combita	navitrans	10051770,10148707
andres duque pelaez	navitrans s.a.	190000000	16 de september de 2011  08:51 a.m.	suministro de una (1) volqueta con volco de 7 m3. modelo 2012 para la alcaldia  municipal de tunungua boyacá	navitrans	10051770,10148707
nelson rios villamizar	union temporal disico tch 2012	1100097600	13 de enero de 2012	prestación del servicio de apoyo en la gestión documental - organización de archivos en las diferentes dependencias del ministerio de relaciones exteriores y su fondo rotatorio.	disico	10163683,10163694
luis javier cardona velasquez	navitrans s.a	200000000	29 de december  de 2011  02:30 p.m.	adquisición, a título de compraventa, de una retroexcavadora sobre llantas	navitrans	10051770,10148707
alvaro velez osorio	velez lab y cia s.a.	198994488	23 de january   de 2008  04:42 p.m.	suministro de insumos necesarios para el procesamiento de hormonas con equipo automatizado en apoyo tecnologico	velez lab	10053876
ricardo duque pelaez	navitrans s.a.	1458000000	17 de december  de 2007  03:04 p.m.	adquisición busetones para apoyo al transporte escolar para la permanencia y/o ampliación de cobertura y disminución de la deserción escolar en instituciones educativas de municipios no certificados de boyacá	navitrans	10051770,10148707
ricardo de jesus duque pelaez	comercializadora internacional de equipos y maquinaria ¿ navitrans s.a.s.	1390000000	02 de august    de 2013  04:43 p.m.	suministro de maquinaria pesada para la alcaldia de chaparral - tres  (3) volquetas, una (1) retroexcavadora, un (1) vibrocompactador, un (1) buldozer, como consecuencia de la aprobacion del emprestito según acuerdo municipal 010 de 2012 y  02 de 2013	navitrans	10051770,10148707
nestor diego villegas hurtado	navitrans sas.	2339608	12 de april     de 2013  02:54 p.m.	mantenimiento preventivo para las dos volquetas international de propiedad del municipio de saladoblanco ¿ huila.	navitrans	10051770,10148707
jose antonio mejia nuñez	navitrans	589761	09 de may       de 2013  06:18 p.m.	el objeto de la presente contratación de mínima cuantía es la selección y adjudicación a la persona natural o jurídica, consorcio o unión temporal que en las mejores condiciones ofrezca al municipio  de génova quindío la ejecución de un contrato cuyo objeto es: ¿contratacion de prestacion de servicios requeridos para la revision, diagnostico y mantenimiento mecanico para la retro excavadora case 590 turbo cargada de propiedad del municipio de génova quindio¿	navitrans	10051770,10148707
humberto de jesus duque pelaez	navitrans sa	3399380000	17 de febrero de 2012	adquisición de diez (10) volqueta doble troque, para el ejercito nacional destinado a los proyectos del convenio 200925; carretera de la soberania, en el marco del programa de corredores arteriales de comprtitividad, convenio 200925.	navitrans	10051770,10148707
julian ricardo russi ramirez	impulsores internacionales s.a.s.	4200000	03 de octubre de 2014	cotonoides  300 un.	impulsores internacionales	10211803
luis javier cardona velasquez	comercial internacional de equipos y maquinaria s.a. navitrans internacional s.a.	439000000	30 de july      de 2010  12:45 p.m.	compra de una (1) retrocargadora de llantas una (1) volqueta y un motor 6 en línea 195hp 2.600 rpm incluida su instalación y puesta en marcha en el vehículo marca chevrolet, linea kodiak, año modelo 1993, 3500 c.c. modelo chasis kodiak diesel 229,, maquinaria que se requiere para el mejoramiento de vias del municipio de la sierra, departamento del cauca.	navitrans	10051770,10148707
andres duque pelaez	navitrans s.a.	230000000	06 de november  de 2008  01:34 p.m.	suministro de una maquina retroexcavadora cargadora sobre llantas para el municipio de briceño, modelo 2008 o superior, por la modalidad de precio unitario, de conformidad con la especificaciones técnicas descritas en el pliego de condiciones	navitrans	10051770,10148707
andres duque pelaez	comercial internacional de equipos y maquinaria s.a.s. ¿ navitrans s.a.s. sucursal bogota	381904255	18 de june      de 2014  09:29 a.m.	suministro de maquinaria pesada compuesta de una retroexcavadora y una volqueta para el mantenimiento  de vías y  demás  en  el  municipio  de  nuquí,  chocó, occidente	navitrans	10051770,10148707
luis javier cardona velasquez	comercial internacional de equipos y maquinaria s.a.s. (navitrans s.a.s.)	51183065	30 de december  de 2015  08:54 p.m.	servicio de mantenimiento correctivo, incluido el suministro de repuestos para la volqueta 4300 4x2 std durastar placa ocdc 690, volqueta 4300 4x2 super durastar placa odr 511, motoniveladora 845 case y vehículo genérico (buseta) placa oib344 de propiedad del municipio de la peña cundinamarca	navitrans	10051770,10148707
nestor diego villegas hurtado	navitrans s.a.s.	6373642	12 de may       de 2015  05:49 p.m.	mantenimiento y diagnostico de la retroexcavadora marca case 590 super-n de propiedad del municipio de alpujarra tolima	navitrans	10051770,10148707
saturnino barajas endez	bbb equipos s.a	399230875	20 de august    de 2013  10:07 a.m.	compra de maquinaria pesada tipo motoniveladora con un juego de llantas adicional, incluyendo el mantenimiento preventivo por el termino de un año para la rehabilitacion de la infraestructura vial de el municipio de sabanlarga casanare	bbb	10161652
ricardo de jesús duque peláez	comercial internacional de equipos y maquinaria s.a. ¿navitrans s.a.¿	175000000	10 de may       de 2009  01:54 p.m.	seleccionar el contratista que venta al municipio una volqueta nueva 4300 4 x 2 para el mantenimiento de la red vial del municipio de chitagá	navitrans	10051770,10148707
ricardo de jesus duque pelaez	comercial internacional de equipos y maquinaria -navitrans s.a.s	310000000	04 de september de 2013  03:09 p.m.	adquisicion a titulo de compraventa de vehiculos automotores para el municipio de la plata huila.	navitrans	10051770,10148707
wilson miguel pinilla ortega	impulsores internacionales s.a.s.	173774720	25 de may       de 2015  03:06 p.m.	arrendamiento de (4) cuatro equipos de ecografia que incluya mantenimiento preventivo, correctivo y soporte tecnico	impulsores internacionales	10211803
andres de jesus duque pelaez	comercial internacional de equipos y maquinaria s. a. ¿ navitrans s. a.-	400000000	09 de july      de 2010  06:33 p.m.	contratar la adquisición de maquinaria amarilla: retroexcavadora y volqueta sencilla, para el municipio de paicol - huila	navitrans	10051770,10148707
andres duque pelaez	comercial  international  de  equipos  y  maquinaria  navitrans  s.a.	590000000	27 de september de 2009  04:19 p.m.	adquisicion de  maquinaria  amarilla: una retroexcavadora y dos volquetas  sencillas para el munic ipio de junin cund	navitrans	10051770,10148707
josé antonio mejía núñez	comercial internacional de equipos y aquinaria s.a.s. ¿navitrans s.a.s¿ ¿ agencia dosquebradas	7904150	27 de february  de 2015  08:54 a.m.	suministro de repuestos y mantenimiento preventivo a la retroexcavadora - case 590 super n  que se encuentran a cargo del municipio de marmato	navitrans	10051770,10148707
ivonny tietje chivatá	disico s.a.	273750000	26 de february  de 2009  07:06 p.m.	contratar en nombre de la nación consejo superior de la judicatura, el suministro e instalación, de 11 licencias de grabación de audio y 4 licencias de grabación de audio y video para la implementación del nuevo código de la infancia y la adolescencia para las ciudades de bogotá y cali.	disico	10163683,10163694
navitrans sas	navitrans sas	1631602365	23 de enero de 2014	suministro de repuestos originales para vehículos de marca internacional y maquinaria marca case,  que se requieren durante la ejecución de las obras en el proyecto tibú - la gabarra norte de santander.	navitrans	10051770,10148707
jhon hary delgado	comercial internacional de equipos y maqunarias sas navitrans	380480000	20 de march     de 2013  10:56 a.m.	adquisición de dos volquetas marca international modelo 2013 para el municipio de potosi.	navitrans	10051770,10148707
