representante_legal	razon_social	monto	fecha	description	razon_social_normalizada	node_id_panama_papers
nestor diego villegas hurtado	comercial internacional de equipos y maquinaria s.a.s. - navitrans  s.a.s	250000000	26 de july      de 2013  10:44 a.m.	adquisición de una maquina retroexcavadora para el municipio de santa isabel tolima	navitrans	10051770,10148707
jose antonio mejia nuñez	navitrans	3279054	15 de may       de 2012  09:30 a.m.	suministro de insumos para el mantenimiento de las volquetas nuevas que se encontraban en proceso de garantía.	navitrans	10051770,10148707
alvaro velez osorio	velez lab s.a.s.	113400000	18 de march     de 2015  02:11 p.m.	suministro de reactivo para la determinacion de troponina en sangre total por metodo automatizado.	velez lab	10053876
luis javier cardona velasquez	comercial internacional de equipos y maquinaria s.a. navitrans international s.a	2014436	22 de mayo de 2008	mantenimiento tanqueta coeb	navitrans	10051770,10148707
carlos alfonso  romero zarama	comercial internacional de equipos y maquinarias s.a.s., navitrans s.a.s	262362000	23 de december  de 2015  05:01 p.m.	compra de una (1) volqueta para la adecuación, mantenimiento, mejoramiento y rehabilitacion de las vias del municipio de pupiales.	navitrans	10051770,10148707
sandra milena arango vallejo	bbb equipos s.a.	903179449	23 de december  de 2011  11:24 a.m.	adquisición de estaciones gnss de operación continua (cors) y estaciones totales  con sus accesorios para la subdirección de geografía y cartografía	bbb	10161652
alvaro velez osorio	velez lab  s.a.s.	1697080	10 de july      de 2015  09:05 a.m.	material laboratorio clinico	velez lab	10053876
jose luis gomez escobar	navitrans s.a.  y/o jose luis gomez escobar	175000000	03 de december  de 2008  07:41 p.m.	compra de una volqueta con destino al fortalecimiento del parque automotor de la alcaldia municipal, municipio de orito putumayo.	navitrans	10051770,10148707
ricardo duque pelaez	navitrans	192000000	23 de april     de 2009  09:04 p.m.	compra de volqueta para el municipio de herran	navitrans	10051770,10148707
duque peláez	navitrans s.a.s	6882524	06 de october   de 2014  03:00 p.m.	mantenimiento del carro compactador  recolector de basura  y suministro de  aceite, gras y filtro  adscrito  a la unidad de servicios públicos domiciliarios del municipio de zaragoza	navitrans	10051770,10148707
diego fernando rivera giraldo	comercial internacional de equipos y maquinaria s.a.s navitrans s.a.s	7239954	25 de september de 2013  11:29 a.m.	reparación mecánica a la volqueta de placas uzk-312 de propiedad del municipio de saboyá	navitrans	10051770,10148707
sandra milena arango vallejo	bbb equipos s.a	15000000	11 de enero de 2012	servicio de suministro de repuestos, mantenimiento preventivo y correctivo de las partes mecánicas, hidráulicas y eléctricas para la maquina retro cargador propiedad de la emaaf esp	bbb	10161652
luis javier cardona velasquez	comercial internacional de equipos & maquinaria ¿ navitrans s.a.s.	713376405	27 de december  de 2012  11:13 a.m.	adquisición de retrocargador y motoniveladora para  el mejoramiento, mantenimiento y construcción de las vías  del municipio de san luis de palenque - casanare	navitrans	10051770,10148707
luis javier cardona velasquez	comercializadora internacional de equipos y maquinas s.a.s (navitrans)	590000000	03 de september de 2012  10:30 a.m.	adquision de maquinaria pesada (dos (2) volquetas y un (1) vibrocompactador) ¿  ejecucion proyecto mantenimiento malla vial rural  municipio de uribe - meta	navitrans	10051770,10148707
